Trip #,Date,Day,Pickup Time,Duration(Minutes),Distance(Miles),Total,$/Minute,$/Mile
1033,6/30/2019,Sunday,0531,18,15.67,12.23,0.679444444,0.78047224
1034,6/30/2019,Sunday,1803,7,4.07,3.90,0.557142857,0.958230958
1035,6/30/2019,Sunday,1828,19,16.81,13.15,0.692105263,0.782272457
1036,6/30/2019,Sunday,1859,14,8.19,7.27,0.519285714,0.887667888
1037,6/30/2019,Sunday,1942,14,11.11,9.05,0.646428571,0.814581458
1038,6/30/2019,Sunday,2031,17,11.35,9.56,0.562352941,0.842290749
1039,6/30/2019,Sunday,2100,12,5.01,5.10,0.425,1.017964072
1040,6/30/2019,Sunday,2142,13,8.76,7.56,0.581538462,0.863013699
1041,6/30/2019,Sunday,2206,27,20.35,20.62,0.763703704,1.013267813
1042,6/30/2019,Sunday,2313,3,1.42,3.01,1.003333333,2.11971831
1043,6/30/2019,Sunday,2321,13,5.37,5.44,0.418461538,1.013035382
1044,6/30/2019,Sunday,2335,4,1.1,3.01,0.7525,2.736363636
1045,6/30/2019,Sunday,2345,10,3.7,4.11,0.411,1.110810811
