Trip #,Date,Day,Pickup Time,Duration(Minutes),Distance(Miles),Total,$/Minute,$/Mile
201,5/20/2019,Monday,0547,30,29.12,27.40,0.913333333,0.940934066
202,5/20/2019,Monday,0636,10,4.84,6.73,0.673,1.390495868
203,5/20/2019,Monday,0715,7,2.36,3.01,0.43,1.275423729
204,5/20/2019,Monday,0735,13,5.24,5.45,0.419230769,1.040076336
205,5/20/2019,Monday,0808,15,7.51,12.11,0.807333333,1.612516644
206,5/20/2019,Monday,0837,13,10.52,8.51,0.654615385,0.808935361
207,5/20/2019,Monday,1229,7,2.63,3.01,0.43,1.144486692
208,5/20/2019,Monday,1250,19,9.37,8.67,0.456315789,0.92529349
209,5/20/2019,Monday,1315,12,7.43,6.61,0.550833333,0.889636608
210,5/20/2019,Monday,1333,6,1.15,3.01,0.501666667,2.617391304
211,5/20/2019,Monday,1410,43,38.91,38.85,0.903488372,0.99845798
212,5/20/2019,Monday,1509,4,1.25,3.02,0.755,2.416
213,5/21/2019,Tuesday,0354,10,5.16,4.88,0.488,0.945736434
214,5/21/2019,Tuesday,0454,20,18.93,14.53,0.7265,0.767564712
215,5/21/2019,Tuesday,0610,11,6.28,5.74,0.521818182,0.914012739
216,5/21/2019,Tuesday,0643,5,2.6,3.01,0.602,1.157692308
217,5/21/2019,Tuesday,0711,11,5.62,5.39,0.49,0.959074733
218,5/21/2019,Tuesday,0733,25,22.88,17.54,0.7016,0.766608392
219,5/21/2019,Tuesday,0910,20,13.97,17.96,0.898,1.285612026
220,5/21/2019,Tuesday,1022,19,8.01,8.01,0.421578947,1
221,5/21/2019,Tuesday,1125,9,5.88,5.24,0.582222222,0.891156463
222,5/21/2019,Tuesday,1139,11,7.47,6.41,0.582727273,0.858099063
223,5/21/2019,Tuesday,1157,12,6.82,9.15,0.7625,1.341642229
224,5/21/2019,Tuesday,1242,8,2.51,3.13,0.39125,1.247011952
225,5/21/2019,Tuesday,1244,5,1.3,3.01,0.602,2.315384615
226,5/21/2019,Tuesday,1316,7,1.25,3.01,0.43,2.408
227,5/21/2019,Tuesday,1327,13,7.33,9.61,0.739230769,1.311050477
228,5/21/2019,Tuesday,1343,32,22.15,23.57,0.7365625,1.064108352
229,5/21/2019,Tuesday,1423,3,0.7,3.39,1.13,4.842857143
230,5/21/2019,Tuesday,1438,40,30.22,29.06,0.7265,0.961614825
231,5/21/2019,Tuesday,1603,5,1.47,3.00,0.6,2.040816327
232,5/21/2019,Tuesday,1611,19,6.44,7.01,0.368947368,1.088509317
233,5/21/2019,Tuesday,1636,42,13.23,19.72,0.46952381,1.490551776
234,5/22/2019,Wednesday,0438,21,19.61,15.27,0.727142857,0.778684345
235,5/22/2019,Wednesday,0530,12,5.23,6.22,0.518333333,1.189292543
236,5/22/2019,Wednesday,0554,5,1.69,3.56,0.712,2.106508876
237,5/22/2019,Wednesday,0610,8,2.89,5.28,0.66,1.826989619
238,5/22/2019,Wednesday,0629,17,9.09,8.43,0.495882353,0.927392739
239,5/22/2019,Wednesday,0702,4,1.3,4.01,1.0025,3.084615385
240,5/22/2019,Wednesday,0713,13,7.39,7.01,0.539230769,0.948579161
241,5/22/2019,Wednesday,0738,20,14.39,12.12,0.606,0.842251564
242,5/22/2019,Wednesday,0824,39,24.09,20.43,0.523846154,0.848069738
243,5/22/2019,Wednesday,0913,14,7.93,10.14,0.724285714,1.278688525
244,5/22/2019,Wednesday,1009,21,9.52,12.11,0.576666667,1.272058824
245,5/22/2019,Wednesday,1052,2,0.51,3.05,1.525,5.980392157
246,5/22/2019,Wednesday,1152,6,1.63,5.00,0.833333333,3.067484663
247,5/22/2019,Wednesday,1210,8,3.11,3.50,0.4375,1.125401929
248,5/22/2019,Wednesday,1338,18,6.93,7.20,0.4,1.038961039
249,5/22/2019,Wednesday,1402,24,12.41,11.23,0.467916667,0.904915391
250,5/22/2019,Wednesday,1446,7,3.1,3.29,0.47,1.061290323
251,5/22/2019,Wednesday,1514,12,4.36,4.69,0.390833333,1.075688073
252,5/22/2019,Wednesday,1535,17,7.18,7.11,0.418235294,0.990250696
253,5/22/2019,Wednesday,1600,12,4.14,5.65,0.470833333,1.3647343
254,5/22/2019,Wednesday,1626,5,1.42,3.00,0.6,2.112676056
255,5/22/2019,Wednesday,1643,9,3.46,4.80,0.533333333,1.387283237
256,5/22/2019,Wednesday,1716,23,12.57,11.15,0.484782609,0.887032617
257,5/22/2019,Wednesday,1755,24,6.99,9.27,0.38625,1.326180258
258,5/23/2019,Thursday,0321,22,21.67,22.81,1.036818182,1.052607291
259,5/23/2019,Thursday,0357,14,11.42,14.11,1.007857143,1.235551664
260,5/23/2019,Thursday,0513,13,9.97,11.18,0.86,1.121364092
261,5/23/2019,Thursday,0533,19,15,17.18,0.904210526,1.145333333
262,5/23/2019,Thursday,0628,10,6.47,5.67,0.567,0.876352396
263,5/23/2019,Thursday,0656,23,18.72,20.99,0.912608696,1.121260684
264,5/23/2019,Thursday,0722,4,1.41,3.02,0.755,2.141843972
265,5/23/2019,Thursday,0738,11,5.39,5.16,0.469090909,0.957328386
266,5/23/2019,Thursday,0824,7,1.39,3.01,0.43,2.165467626
267,5/23/2019,Thursday,0844,55,57.73,43.17,0.784909091,0.747791443
268,5/23/2019,Thursday,1046,55,57.51,42.69,0.776181818,0.742305686
269,5/23/2019,Thursday,1151,11,6.73,5.95,0.540909091,0.88410104
270,5/23/2019,Thursday,1225,14,7.18,11.22,0.801428571,1.562674095
271,5/23/2019,Thursday,1313,13,7.3,8.57,0.659230769,1.173972603
272,5/23/2019,Thursday,1331,13,4.4,9.94,0.764615385,2.259090909
273,5/23/2019,Thursday,1346,14,7.57,11.89,0.849285714,1.570673712
274,5/23/2019,Thursday,1414,13,6.1,6.07,0.466923077,0.995081967
275,5/23/2019,Thursday,1435,7,1.83,3.01,0.43,1.644808743
276,5/23/2019,Thursday,1444,15,4.72,5.43,0.362,1.150423729
277,5/23/2019,Thursday,1457,16,7.64,12.32,0.77,1.612565445
278,5/23/2019,Thursday,1530,22,7.42,8.00,0.363636364,1.078167116
279,5/23/2019,Thursday,1535,25,10.65,13.82,0.5528,1.297652582
280,5/23/2019,Thursday,1627,13,7.36,7.54,0.58,1.024456522
281,5/23/2019,Thursday,1654,10,2.87,6.55,0.655,2.282229965
282,5/24/2019,Friday,0021,5,2.64,3.01,0.602,1.140151515
283,5/24/2019,Friday,0104,10,4.2,4.35,0.435,1.035714286
284,5/24/2019,Friday,0114,21,11.58,10.30,0.49047619,0.889464594
285,5/24/2019,Friday,0142,9,3.57,3.83,0.425555556,1.072829132
286,5/24/2019,Friday,0209,8,4.19,4.01,0.50125,0.957040573
287,5/24/2019,Friday,0222,7,3.54,3.54,0.505714286,1
288,5/24/2019,Friday,0248,7,3.92,3.83,0.547142857,0.977040816
289,5/24/2019,Friday,0320,26,22.45,17.65,0.678846154,0.786191537
290,5/24/2019,Friday,0428,13,7.77,6.86,0.527692308,0.882882883
291,5/24/2019,Friday,0518,4,2.84,3.16,0.79,1.112676056
292,5/24/2019,Friday,0541,7,4.31,7.01,1.001428571,1.626450116
293,5/24/2019,Friday,0608,10,5.07,4.94,0.494,0.974358974
294,5/24/2019,Friday,0632,19,19.6,14.84,0.781052632,0.757142857
295,5/24/2019,Friday,0720,17,9.88,9.75,0.573529412,0.986842105
296,5/24/2019,Friday,0741,13,10.59,10.97,0.843846154,1.035882908
297,5/24/2019,Friday,0821,5,1.87,3.01,0.602,1.609625668
298,5/24/2019,Friday,0836,14,10.59,11.69,0.835,1.103871577
299,5/24/2019,Friday,0900,12,7.22,6.43,0.535833333,0.890581717
300,5/24/2019,Friday,1840,7,1.12,3.00,0.428571429,2.678571429
301,5/24/2019,Friday,1854,17,10.49,17.03,1.001764706,1.623450906
302,5/24/2019,Friday,1955,5,1.46,3.06,0.612,2.095890411
303,5/24/2019,Friday,2038,13,3.43,4.41,0.339230769,1.285714286
304,5/24/2019,Friday,2057,8,2.71,3.20,0.4,1.180811808
305,5/24/2019,Friday,2109,4,0.88,8.01,2.0025,9.102272727
306,5/24/2019,Friday,2152,37,32.83,27.86,0.752972973,0.848614072
307,5/24/2019,Friday,2242,8,4.25,7.00,0.875,1.647058824
308,5/24/2019,Friday,2343,33,19.92,17.70,0.536363636,0.888554217
309,5/25/2019,Saturday,0033,13,8.34,10.47,0.805384615,1.255395683
310,5/25/2019,Saturday,0058,5,2.01,3.01,0.602,1.497512438
311,5/25/2019,Saturday,0121,12,11.29,8.89,0.740833333,0.787422498
312,5/25/2019,Saturday,0420,18,12.79,10.56,0.586666667,0.825645035
313,5/25/2019,Saturday,2006,8,3.38,3.60,0.45,1.065088757
314,5/25/2019,Saturday,2016,4,1.02,3.01,0.7525,2.950980392
315,5/25/2019,Saturday,2025,2,0.57,3.00,1.5,5.263157895
316,5/25/2019,Saturday,2038,16,4.35,5.42,0.33875,1.245977011
317,5/25/2019,Saturday,2059,25,23.46,17.87,0.7148,0.76172208
318,5/25/2019,Saturday,2132,18,12.3,10.34,0.574444444,0.840650407
319,5/25/2019,Saturday,2153,12,2.63,3.86,0.321666667,1.467680608
320,5/25/2019,Saturday,2216,7,1.77,3.01,0.43,1.700564972
321,5/25/2019,Saturday,2226,5,1.49,6.01,1.202,4.033557047
322,5/25/2019,Saturday,2252,7,2.12,3.00,0.428571429,1.41509434
323,5/25/2019,Saturday,2309,5,1.55,3.03,0.606,1.95483871
324,5/25/2019,Saturday,2323,49,31.84,33.72,0.688163265,1.059045226
325,5/26/2019,Sunday,0010,15,7.82,7.53,0.502,0.962915601
326,5/26/2019,Sunday,0011,10,7.07,6.10,0.61,0.862800566
327,5/26/2019,Sunday,0055,13,9.17,7.71,0.593076923,0.840785169
328,5/26/2019,Sunday,0118,9,4.32,4.32,0.48,1
329,5/26/2019,Sunday,0139,6,1.84,3.00,0.5,1.630434783
330,5/26/2019,Sunday,0148,6,2.16,3.01,0.501666667,1.393518519
331,5/26/2019,Sunday,0220,11,7.68,6.62,0.601818182,0.861979167
332,5/26/2019,Sunday,0256,5,1.66,3.01,0.602,1.813253012
333,5/26/2019,Sunday,0309,25,20.77,16.26,0.6504,0.782859894
334,5/26/2019,Sunday,0353,13,7.43,6.75,0.519230769,0.908479139
335,5/26/2019,Sunday,0448,8,3.93,9.38,1.1725,2.386768448
336,5/26/2019,Sunday,0537,12,7.75,15.43,1.285833333,1.990967742
337,5/26/2019,Sunday,0610,6,2.78,6.01,1.001666667,2.161870504
338,5/26/2019,Sunday,0624,8,3.08,4.57,0.57125,1.483766234
339,5/26/2019,Sunday,2022,9,3.91,9.12,1.013333333,2.332480818
340,5/26/2019,Sunday,2042,24,16,13.38,0.5575,0.83625
341,5/26/2019,Sunday,2147,11,7.16,7.25,0.659090909,1.012569832
342,5/26/2019,Sunday,2217,13,10.32,13.42,1.032307692,1.300387597
343,5/26/2019,Sunday,2300,9,5.66,5.04,0.56,0.890459364
344,5/26/2019,Sunday,2321,8,4.12,8.75,1.09375,2.123786408
345,5/27/2019,Monday,0312,7,4.06,11.14,1.591428571,2.743842365
346,5/27/2019,Monday,0335,15,12.82,13.64,0.909333333,1.063962559
347,5/27/2019,Monday,0410,16,9.08,9.18,0.57375,1.011013216
348,5/27/2019,Monday,0504,10,5.98,5.45,0.545,0.911371237
349,5/27/2019,Monday,0550,15,7.91,11.73,0.782,1.482932996
350,5/27/2019,Monday,0631,15,8.49,10.74,0.716,1.265017668
351,5/27/2019,Monday,0850,7,3.6,3.51,0.501428571,0.975
352,5/27/2019,Monday,1708,11,3.84,4.62,0.42,1.203125
353,5/27/2019,Monday,1749,4,1.26,6.01,1.5025,4.76984127
354,5/27/2019,Monday,1808,5,2.56,3.01,0.602,1.17578125
355,5/27/2019,Monday,1850,11,4.63,6.04,0.549090909,1.304535637
356,5/27/2019,Monday,1914,5,2.7,6.00,1.2,2.222222222
357,5/27/2019,Monday,1927,12,6.71,7.07,0.589166667,1.053651267
358,5/27/2019,Monday,1955,8,2.71,3.15,0.39375,1.162361624
359,5/27/2019,Monday,2021,16,16,14.19,0.886875,0.886875
360,5/28/2019,Tuesday,0355,9,5.12,5.45,0.605555556,1.064453125
361,5/28/2019,Tuesday,0434,5,2.22,3.00,0.6,1.351351351
362,5/28/2019,Tuesday,0455,10,6.92,6.47,0.647,0.934971098
363,5/28/2019,Tuesday,0548,30,21.89,18.59,0.619666667,0.849246231
364,5/28/2019,Tuesday,0657,9,5.04,4.69,0.521111111,0.930555556
365,5/28/2019,Tuesday,0715,47,26.21,26.03,0.553829787,0.993132392
366,5/28/2019,Tuesday,0817,13,5.07,5.39,0.414615385,1.063116371
367,5/28/2019,Tuesday,0837,12,4.31,5.80,0.483333333,1.345707657
368,5/28/2019,Tuesday,0858,15,8.11,7.42,0.494666667,0.914919852
369,5/28/2019,Tuesday,0922,9,5.14,9.70,1.077777778,1.887159533
370,5/28/2019,Tuesday,0930,4,0.89,6.14,1.535,6.898876404
371,5/28/2019,Tuesday,1009,9,2.19,3.01,0.334444444,1.374429224
372,5/28/2019,Tuesday,1116,10,4.88,12.03,1.203,2.465163934
373,5/28/2019,Tuesday,1130,7,3.12,3.32,0.474285714,1.064102564
374,5/28/2019,Tuesday,1147,13,8.01,10.03,0.771538462,1.252184769
375,5/28/2019,Tuesday,1215,16,7.36,7.10,0.44375,0.964673913
376,5/28/2019,Tuesday,1235,6,1.14,4.00,0.666666667,3.50877193
377,5/28/2019,Tuesday,2036,26,20.69,21.37,0.821923077,1.032866119
378,5/28/2019,Tuesday,2114,12,7.15,9.37,0.780833333,1.31048951
379,5/28/2019,Tuesday,2135,17,5.94,6.49,0.381764706,1.092592593
380,5/29/2019,Wednesday,0323,7,3.81,3.72,0.531428571,0.976377953
381,5/29/2019,Wednesday,0335,28,24.94,24.06,0.859285714,0.964715317
382,5/29/2019,Wednesday,0405,12,7.28,6.47,0.539166667,0.888736264
383,5/29/2019,Wednesday,0456,4,1.54,4.00,1,2.597402597
384,5/29/2019,Wednesday,0509,12,6.89,8.28,0.69,1.201741655
385,5/29/2019,Wednesday,0543,6,2.53,3.28,0.546666667,1.296442688
386,5/29/2019,Wednesday,0613,10,7.56,7.40,0.74,0.978835979
387,5/29/2019,Wednesday,0740,10,6.7,9.88,0.988,1.474626866
388,5/29/2019,Wednesday,0814,7,1.44,4.50,0.642857143,3.125
389,5/29/2019,Wednesday,0829,17,11.97,9.93,0.584117647,0.829573935
390,5/29/2019,Wednesday,1034,27,23.65,24.30,0.9,1.027484144
391,5/29/2019,Wednesday,1135,6,2.86,3.00,0.5,1.048951049
392,5/29/2019,Wednesday,1530,33,10.98,12.74,0.386060606,1.160291439
393,5/29/2019,Wednesday,1607,24,10.44,15.15,0.63125,1.451149425
394,5/29/2019,Wednesday,1705,16,5.8,11.25,0.703125,1.939655172
395,5/29/2019,Wednesday,1838,14,4.98,8.43,0.602142857,1.692771084
396,5/29/2019,Wednesday,1958,35,20.58,22.65,0.647142857,1.10058309
397,5/30/2019,Thursday,0503,25,26.47,26.53,1.0612,1.002266717
398,5/30/2019,Thursday,0722,5,1.42,3.00,0.6,2.112676056
399,5/30/2019,Thursday,0731,11,2.88,6.76,0.614545455,2.347222222
400,5/30/2019,Thursday,0751,5,1.23,3.00,0.6,2.43902439
401,5/30/2019,Thursday,0757,12,3.4,6.96,0.58,2.047058824
402,5/30/2019,Thursday,0830,33,29.5,28.02,0.849090909,0.949830508
403,5/30/2019,Thursday,0902,23,17.47,17.04,0.740869565,0.975386377
404,5/30/2019,Thursday,0951,24,17.77,23.97,0.99875,1.348902645
405,5/30/2019,Thursday,1052,32,29.56,22.53,0.7040625,0.76217862
406,5/30/2019,Thursday,1141,13,10.4,13.49,1.037692308,1.297115385
407,5/30/2019,Thursday,1239,6,2.37,3.01,0.501666667,1.270042194
408,5/30/2019,Thursday,1301,18,5.24,6.22,0.345555556,1.187022901
409,5/30/2019,Thursday,1428,16,6.8,7.86,0.49125,1.155882353
410,5/30/2019,Thursday,1524,4,1.06,3.00,0.75,2.830188679
411,5/30/2019,Thursday,1525,17,17.35,15.38,0.904705882,0.886455331
412,5/30/2019,Thursday,1612,35,33.87,25.49,0.728285714,0.752583407
413,5/31/2019,Friday,0001,14,9.72,11.23,0.802142857,1.155349794
414,5/31/2019,Friday,0113,13,8.61,8.44,0.649230769,0.980255517
415,5/31/2019,Friday,0132,15,9.7,19.72,1.314666667,2.032989691
416,5/31/2019,Friday,0201,12,7.35,7.07,0.589166667,0.961904762
417,5/31/2019,Friday,0227,8,2.39,5.26,0.6575,2.20083682
418,5/31/2019,Friday,0242,19,10.4,9.40,0.494736842,0.903846154
419,5/31/2019,Friday,0319,7,3.11,3.31,0.472857143,1.064308682
420,5/31/2019,Friday,0322,8,4.13,4.06,0.5075,0.983050847
421,5/31/2019,Friday,0344,23,16.69,17.34,0.753913043,1.038945476
422,5/31/2019,Friday,0402,16,8.87,8.47,0.529375,0.954904171
423,5/31/2019,Friday,0438,17,4.27,8.39,0.493529412,1.964871194
424,5/31/2019,Friday,0507,11,7.21,6.37,0.579090909,0.883495146
425,5/31/2019,Friday,0553,8,3.87,3.92,0.49,1.012919897
426,5/31/2019,Friday,0608,16,14.13,15.41,0.963125,1.090587403
427,5/31/2019,Friday,0645,5,1.82,3.01,0.602,1.653846154
428,5/31/2019,Friday,0654,9,3.31,5.26,0.584444444,1.589123867
429,5/31/2019,Friday,0720,17,9.68,8.57,0.504117647,0.885330579
430,5/31/2019,Friday,0752,12,8.68,12.22,1.018333333,1.407834101
431,5/31/2019,Friday,0812,23,21.02,21.82,0.948695652,1.038058991
432,5/31/2019,Friday,0859,12,4.12,4.63,0.385833333,1.123786408
433,5/31/2019,Friday,1042,12,8.96,7.48,0.623333333,0.834821429
434,5/31/2019,Friday,1942,14,5.32,5.63,0.402142857,1.058270677
435,5/31/2019,Friday,2032,9,2.45,3.14,0.348888889,1.281632653
436,5/31/2019,Friday,2047,15,3.67,14.82,0.988,4.038147139
437,5/31/2019,Friday,2130,5,1.05,4.01,0.802,3.819047619
438,5/31/2019,Friday,2152,5,3.37,12.35,2.47,3.664688427
439,5/31/2019,Friday,2221,25,10.05,10.19,0.4076,1.013930348
440,5/31/2019,Friday,2302,3,1.19,3.00,1,2.521008403
441,6/1/2019,Saturday,0003,13,9.52,7.99,0.614615385,0.839285714
442,6/1/2019,Saturday,0026,11,6.57,5.97,0.542727273,0.908675799
443,6/1/2019,Saturday,0042,10,3.4,6.94,0.694,2.041176471
444,6/1/2019,Saturday,0056,7,2.31,3.01,0.43,1.303030303
445,6/1/2019,Saturday,0110,7,3.27,4.59,0.655714286,1.403669725
446,6/1/2019,Saturday,0126,16,10.54,9.61,0.600625,0.911764706
447,6/1/2019,Saturday,0159,4,1.72,3.01,0.7525,1.75
448,6/1/2019,Saturday,0214,25,10.96,13.58,0.5432,1.239051095
449,6/1/2019,Saturday,0253,4,1.21,3.01,0.7525,2.487603306
450,6/1/2019,Saturday,0317,2,0.7,6.01,3.005,8.585714286
451,6/1/2019,Saturday,0321,8,2.01,6.01,0.75125,2.990049751
452,6/1/2019,Saturday,0332,16,13.84,10.94,0.68375,0.790462428
453,6/1/2019,Saturday,0444,22,7.31,11.06,0.502727273,1.512995896
454,6/1/2019,Saturday,0522,15,9.02,7.92,0.528,0.87804878
455,6/1/2019,Saturday,0543,7,2.41,3.00,0.428571429,1.244813278
456,6/1/2019,Saturday,0556,19,10.39,9.36,0.492631579,0.900866218
457,6/1/2019,Saturday,0744,23,17.54,14.14,0.614782609,0.806157355
458,6/1/2019,Saturday,1957,6,3.42,8.37,1.395,2.447368421
459,6/1/2019,Saturday,2019,8,1.4,3.00,0.375,2.142857143
460,6/1/2019,Saturday,2036,20,11.37,10.33,0.5165,0.908531223
461,6/1/2019,Saturday,2110,6,2.14,3.00,0.5,1.401869159
462,6/1/2019,Saturday,2127,16,8.64,7.94,0.49625,0.918981481
463,6/1/2019,Saturday,2159,10,5.28,5.44,0.544,1.03030303
464,6/1/2019,Saturday,2213,14,6.59,9.34,0.667142857,1.417298938
465,6/1/2019,Saturday,2232,9,2.35,3.29,0.365555556,1.4
466,6/1/2019,Saturday,2252,4,0.52,5.20,1.3,10
467,6/1/2019,Saturday,2316,16,10.29,11.77,0.735625,1.14382896
468,6/2/2019,Sunday,0029,9,3.51,4.27,0.474444444,1.216524217
469,6/2/2019,Sunday,0103,21,16.4,13.22,0.62952381,0.806097561
470,6/2/2019,Sunday,0141,10,5.67,5.27,0.527,0.929453263
471,6/2/2019,Sunday,0211,11,4.36,4.60,0.418181818,1.055045872
472,6/2/2019,Sunday,0233,14,8.4,8.41,0.600714286,1.001190476
473,6/2/2019,Sunday,0311,6,2.32,3.01,0.501666667,1.297413793
474,6/2/2019,Sunday,0320,23,20.34,21.05,0.915217391,1.034906588
475,6/2/2019,Sunday,0425,25,25.26,24.25,0.97,0.960015835
476,6/2/2019,Sunday,0521,10,6.9,10.20,1.02,1.47826087
477,6/2/2019,Sunday,0543,4,1.25,3.01,0.7525,2.408
478,6/2/2019,Sunday,0549,15,7.45,11.97,0.798,1.606711409
479,6/2/2019,Sunday,0624,14,8.48,12.54,0.895714286,1.478773585
480,6/2/2019,Sunday,2150,10,6.19,5.52,0.552,0.891760905
481,6/2/2019,Sunday,2154,25,16.43,37.86,1.5144,2.304321363
482,6/2/2019,Sunday,2248,16,7.14,6.94,0.43375,0.971988796
483,6/2/2019,Sunday,2310,8,3.7,3.72,0.465,1.005405405
484,6/2/2019,Sunday,2334,10,3.32,10.85,1.085,3.268072289
485,6/2/2019,Sunday,2350,23,15.87,16.64,0.723478261,1.048519219
486,6/3/2019,Monday,0048,17,12.41,10.49,0.617058824,0.84528606
487,6/3/2019,Monday,0130,5,2.52,6.01,1.202,2.384920635
488,6/3/2019,Monday,0145,11,8.26,6.88,0.625454545,0.832929782
489,6/3/2019,Monday,0334,26,24.55,22.26,0.856153846,0.906720978
490,6/3/2019,Monday,0410,18,15.08,21.12,1.173333333,1.400530504
491,6/3/2019,Monday,0523,12,4.1,9.58,0.798333333,2.336585366
492,6/3/2019,Monday,0525,14,8.8,13.52,0.965714286,1.536363636
493,6/3/2019,Monday,0626,5,2.85,3.01,0.602,1.056140351
494,6/3/2019,Monday,0645,15,13.35,10.55,0.703333333,0.790262172
495,6/3/2019,Monday,0710,10,5.95,5.40,0.54,0.907563025
496,6/3/2019,Monday,0717,10,4.95,4.85,0.485,0.97979798
497,6/3/2019,Monday,2110,14,7.03,6.57,0.469285714,0.934566145
498,6/3/2019,Monday,2136,12,4.88,5.01,0.4175,1.026639344
499,6/3/2019,Monday,2154,25,13.05,11.76,0.4704,0.901149425
500,6/3/2019,Monday,2244,7,2.56,3.02,0.431428571,1.1796875
501,6/3/2019,Monday,2259,10,6.02,5.42,0.542,0.900332226
502,6/3/2019,Monday,2352,25,21.6,26.38,1.0552,1.221296296
503,6/4/2019,Tuesday,0047,14,8.33,11.12,0.794285714,1.334933974
504,6/4/2019,Tuesday,0108,15,5.02,5.61,0.374,1.11752988
505,6/4/2019,Tuesday,0153,47,38.09,41.62,0.885531915,1.092675243
506,6/4/2019,Tuesday,0247,39,36.25,37.62,0.964615385,1.037793103
507,6/4/2019,Tuesday,0346,23,17.49,23.19,1.00826087,1.325900515
508,6/4/2019,Tuesday,0424,8,3.32,3.82,0.4775,1.15060241
509,6/4/2019,Tuesday,0535,7,2.3,3.00,0.428571429,1.304347826
510,6/4/2019,Tuesday,0646,26,9.46,10.36,0.398461538,1.095137421
511,6/4/2019,Tuesday,0837,15,7.79,7.17,0.478,0.920410783
512,6/4/2019,Tuesday,2109,12,1.77,4.30,0.358333333,2.429378531
513,6/4/2019,Tuesday,2128,7,4.7,4.17,0.595714286,0.887234043
514,6/4/2019,Tuesday,2147,3,1.25,8.01,2.67,6.408
515,6/4/2019,Tuesday,2158,4,1.34,3.01,0.7525,2.246268657
516,6/4/2019,Tuesday,2225,7,2.54,5.01,0.715714286,1.972440945
517,6/4/2019,Tuesday,2232,20,18.23,19.75,0.9875,1.083379046
518,6/4/2019,Tuesday,2347,9,4.2,7.45,0.827777778,1.773809524
519,6/5/2019,Wednesday,0014,7,2.8,3.08,0.44,1.1
520,6/5/2019,Wednesday,0029,21,14.95,12.35,0.588095238,0.826086957
521,6/5/2019,Wednesday,0101,6,2.32,3.01,0.501666667,1.297413793
522,6/5/2019,Wednesday,0248,18,14.84,11.80,0.655555556,0.795148248
523,6/5/2019,Wednesday,0313,20,11.15,9.92,0.496,0.889686099
524,6/5/2019,Wednesday,0340,4,2.38,3.08,0.77,1.294117647
525,6/5/2019,Wednesday,0424,23,22.36,16.95,0.736956522,0.758050089
526,6/5/2019,Wednesday,0554,10,4.24,9.47,0.947,2.233490566
527,6/5/2019,Wednesday,2128,16,5.01,9.25,0.578125,1.846307385
528,6/5/2019,Wednesday,2201,12,5.53,5.41,0.450833333,0.978300181
529,6/5/2019,Wednesday,2232,4,1.55,3.01,0.7525,1.941935484
530,6/5/2019,Wednesday,2257,8,1.73,3.16,0.395,1.826589595
531,6/5/2019,Wednesday,2312,2,0.46,3.92,1.96,8.52173913
532,6/5/2019,Wednesday,2331,17,11.39,12.69,0.746470588,1.114135206
533,6/6/2019,Thursday,0117,12,7.34,9.52,0.793333333,1.297002725
534,6/6/2019,Thursday,0202,33,24.64,26.15,0.792424242,1.061282468
535,6/6/2019,Thursday,0243,12,6.38,11.02,0.918333333,1.727272727
536,6/6/2019,Thursday,0301,5,2.7,3.00,0.6,1.111111111
537,6/6/2019,Thursday,0335,17,14.73,16.20,0.952941176,1.099796334
538,6/6/2019,Thursday,0355,11,6.97,8.15,0.740909091,1.169296987
539,6/6/2019,Thursday,0401,6,3.05,3.11,0.518333333,1.019672131
540,6/6/2019,Thursday,0418,14,8.66,7.52,0.537142857,0.868360277
541,6/6/2019,Thursday,0448,11,1.18,3.03,0.275454545,2.56779661
542,6/6/2019,Thursday,0514,8,6.39,10.38,1.2975,1.624413146
543,6/6/2019,Thursday,0635,9,3.82,3.95,0.438888889,1.034031414
544,6/6/2019,Thursday,0711,19,10.84,12.55,0.660526316,1.157749077
545,6/6/2019,Thursday,0726,7,1.4,3.00,0.428571429,2.142857143
546,6/6/2019,Thursday,0747,7,1.23,6.00,0.857142857,4.87804878
547,6/6/2019,Thursday,0755,22,18.6,16.46,0.748181818,0.884946237
548,6/6/2019,Thursday,0847,18,8.33,10.98,0.61,1.318127251
549,6/6/2019,Thursday,0908,15,8.76,7.74,0.516,0.883561644
550,6/6/2019,Thursday,1001,12,3.48,7.21,0.600833333,2.07183908
551,6/6/2019,Thursday,2009,28,21.2,17.00,0.607142857,0.801886792
552,6/6/2019,Thursday,2106,34,26.6,35.93,1.056764706,1.35075188
553,6/6/2019,Thursday,2158,26,23.88,18.31,0.704230769,0.766750419
554,6/6/2019,Thursday,2236,7,3.01,3.27,0.467142857,1.086378738
555,6/6/2019,Thursday,2243,17,11.7,12.97,0.762941176,1.108547009
556,6/6/2019,Thursday,2340,44,37.71,38.05,0.864772727,1.009016176
557,6/7/2019,Friday,0009,13,7.88,11.86,0.912307692,1.505076142
558,6/7/2019,Friday,0031,17,8.64,9.26,0.544705882,1.071759259
559,6/7/2019,Friday,0111,10,3.63,7.24,0.724,1.994490358
560,6/7/2019,Friday,0126,6,2.46,8.00,1.333333333,3.25203252
561,6/7/2019,Friday,0142,6,2.79,5.26,0.876666667,1.885304659
562,6/7/2019,Friday,0152,7,1.49,6.00,0.857142857,4.026845638
563,6/7/2019,Friday,0214,10,6.41,10.44,1.044,1.628705148
564,6/7/2019,Friday,0244,4,1.28,3.01,0.7525,2.3515625
565,6/7/2019,Friday,0257,12,8.49,7.15,0.595833333,0.842167256
566,6/7/2019,Friday,0313,3,1.27,3.00,1,2.362204724
